ID_Code,talk_frifam,leave,web,prepare_04,prepare_13,prepare_14,prepare_15,prepare_16,prepare_01,prepare_08,info_gather,info_gather_reason,info_gather_scot,info_gather_NPF,info_gather_wellbeing_economy,info_gather_climate,info_gather_employment,info_gather_CA_gen ,info_gather_CA_scot,info_gather_tele,info_gather_radio,info_gather_newspapers,info_gather_magazines,info_gather_books,info_gather_web,info_gather_blogs,info_gather_frifam,info_gather_colleagues,info_gather_org_char,info_gather_politicians,info_gather_Cawebsite,info_gather_social,info_gather_gov,info_gather_council,info_gather_academic,RM_1_self,RM_2_self,RM_3_self,RM_1_CA,RM_2_CA,RM_3_CA,understandCA,feelingCA_1,feelingCA_2,feelingCA_3,feelingCA_4,feelingCA_6,feelingCA_7,eval_wk4_01,att_tax_W4,att_01_W4,att_02_W4,att_03_W4,att_04_W4,att_05_W4,subj_knowledge_scot,subj_knowledge_08,subj_knowledge_09,subj_knowledge_10,subj_knowledge_11,obj_knowledge_04,obj_knowledge_05,obj_knowledge_06,obj_knowledge_07,pol_party,pol_close
B8D38501,8,2,1,5,5,3,3,5,5,5,1,NA,1,NA,NA,1,NA,NA,NA,6,4,2,2,4,6,6,6,6,2,2,6,6,6,2,6,2,2,2,2,2,2,2,4,4,3,2,3,3,4,99,4,4,4,99,99,6,2,0,0,0,3,2,99,99,99,0
0C090C88,7,2,1,5,5,99,99,5,4,99,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4,4,4,1,3,1,2,2,4,2,3,3,3,2,4,5,4,4,4,4,99,99,99,99,99,4
45B0DC80,2,2,2,1,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,4,2,1,3,1,3,1,4,99,3,3,2,2,3,7,4,4,2,2,99,99,99,99,99,0
F4CC77BB,0,1,2,4,4,4,4,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,1,3,5,1,3,3,99,99,99,99,99,99,99,3,3,4,0,0,99,99,99,99,99,0
44E75F93,7,2,1,5,NA,1,1,4,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,4,NA,NA,NA,3,NA,NA,5,99,4,4,99,2,99,5,3,2,2,1,99,99,99,99,99,NA
7E1F780E,3,2,1,4,4,4,5,5,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,4,5,4,3,3,3,4,3,5,99,3,2,4,1,3,10,8,6,6,5,99,2,2,99,99,5
5DDE3E51,7,2,1,6,6,6,1,6,6,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,5,5,2,5,1,4,1,5,1,5,3,3,2,5,7,3,3,3,3,99,3,2,99,99,0
20B830C2,5,2,1,5,5,5,NA,4,99,99,1,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,5,1,4,4,1,3,1,1,4,1,1,2,3,3,2,3,2,5,3,3,3,3,4,2,3,1,4,5,2,3,3,7,6,4,6,5,2,5,2,99,99,NA
61BCA51C,7,2,1,5,5,5,5,6,6,6,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,NA,2,2,2,3,3,3,5,3,2,3,3,3,5,4,2,4,4,5,3,5,7,4,7,5,5,4,6,2,99,99,5
32FB0099,2,2,1,4,4,4,4,4,4,4,2,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,4,2,4,2,5,7,6,6,6,5,99,2,99,1,99,NA
B69726D8,8,2,2,4,4,99,99,99,4,99,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,3,2,5,5,2,4,1,4,99,5,1,5,4,5,3,3,8,5,6,4,4,2,2,2,1,99,3
EC00B5E1,9,2,1,5,5,4,4,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,5,1,1,1,5,1,1,1,1,3,2,NA,4,3,3,4,2,3,3,1,1,5,4,99,99,99,99,99,99,6,2,2,2,2,2,2,2,1,99,NA
358E62BF,10,2,1,3,3,4,4,3,3,3,1,NA,1,1,NA,NA,1,NA,NA,2,2,2,2,2,6,6,6,6,2,3,6,2,6,6,6,4,4,4,3,3,4,5,5,1,4,1,4,1,4,1,4,3,2,2,5,10,7,10,3,4,99,2,2,4,99,3
8D14F83F,7,2,1,6,6,1,1,4,5,5,1,NA,NA,NA,1,1,NA,NA,1,2,2,2,6,1,5,1,3,3,3,2,6,5,1,1,1,4,4,4,3,2,2,4,3,2,4,1,3,2,5,1,5,5,2,5,5,8,5,5,5,4,4,4,2,4,99,NA
86426DFF,7,2,1,5,6,5,1,5,5,1,1,NA,1,NA,NA,NA,1,NA,NA,6,6,5,1,1,5,1,4,1,1,1,4,1,1,1,1,2,1,2,99,99,99,2,5,3,2,3,3,1,5,99,5,1,1,1,1,7,3,0,1,2,99,5,1,4,99,0
548A4308,5,2,1,6,6,6,6,6,6,99,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,3,3,3,4,4,3,3,1,4,3,5,99,4,99,99,1,3,8,6,2,8,5,99,2,99,2,99,0
C35977BF,8,2,1,6,5,5,5,3,5,NA,1,NA,NA,1,1,1,NA,NA,1,4,5,4,1,1,4,1,6,1,1,4,4,2,1,1,1,2,2,2,4,3,4,5,4,1,2,3,4,1,5,1,5,1,2,4,5,8,8,5,8,7,99,4,99,2,99,NA
831CEDBD,8,2,1,6,5,5,4,6,6,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,2,3,5,5,1,3,1,3,1,5,1,5,5,5,4,5,7,6,6,6,6,99,2,2,2,99,2
80BCDEE2,7,1,1,4,5,5,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,4,3,2,2,1,4,1,5,1,4,4,4,3,3,6,5,5,6,4,2,3,2,2,99,NA
F74CB25F,7,2,2,99,99,99,99,99,99,99,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,3,1,5,5,3,3,1,1,3,1,4,3,2,2,4,3,3,4,5,2,3,1,4,1,5,99,5,4,2,99,4,7,4,5,7,2,2,5,2,2,99,5
40FE6024,5,2,1,5,5,99,99,6,6,99,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,2,5,4,5,3,3,3,5,4,2,3,4,2,3,4,6,4,5,3,3,99,2,1,2,99,5
54C0F4F3,5,2,2,4,4,4,4,4,4,4,2,4,NA,NA,NA,1,NA,NA,NA,3,6,1,1,1,5,1,5,4,1,4,1,4,3,3,1,3,3,3,3,3,3,5,3,4,2,2,4,1,4,99,3,3,3,3,3,5,5,5,2,2,99,2,1,2,99,0
6E3293FA,7,2,1,4,3,4,4,5,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,4,1,2,2,4,2,5,2,4,4,5,3,4,9,5,5,8,2,99,99,1,2,99,1
B5F9C1B1,5,2,1,5,6,3,3,5,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,4,5,1,3,1,4,1,3,1,5,2,4,5,2,8,5,5,2,2,3,3,3,3,99,NA
84F5414A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74FF465F,8,2,1,6,6,5,5,6,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,4,4,4,5,5,5,4,1,4,4,5,1,4,2,4,1,4,7,5,5,5,5,99,2,99,99,98,0
3D5501CF,8,2,1,6,6,5,4,5,6,5,1,NA,1,NA,NA,1,NA,1,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,4,3,3,4,4,4,5,5,NA,NA,NA,NA,NA,5,3,5,5,5,3,3,8,4,4,4,4,99,99,99,99,98,6
111B2425,3,2,2,5,5,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,5,3,3,3,3,3,99,99,99,99,98,NA
2AD01912,4,1,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,99,99,99,3,1,4,2,2,1,3,99,99,99,99,99,99,99,5,5,5,5,5,99,99,99,99,98,5
0C554344,7,2,1,5,5,5,5,6,6,6,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,5,4,NA,NA,6,NA,NA,NA,NA,3,3,3,4,4,4,5,5,1,4,1,4,1,5,2,5,5,4,1,3,7,7,7,7,6,NA,2,2,99,98,5
00914AB4,NA,2,1,4,4,3,3,5,4,5,2,3,1,NA,NA,1,NA,1,NA,5,1,4,1,1,5,1,1,1,1,1,5,4,1,1,1,4,4,4,3,3,4,5,NA,NA,NA,NA,4,NA,5,99,3,5,3,1,1,10,5,5,5,5,2,2,99,1,98,0
0BFD7A59,8,2,1,6,6,5,5,5,6,6,1,NA,NA,NA,NA,NA,NA,1,NA,4,3,4,2,2,6,5,4,2,2,3,6,6,3,2,2,3,3,4,3,3,3,5,5,1,4,1,5,1,4,1,3,3,3,3,3,8,6,5,6,6,99,2,2,1,98,NA
5FB21BA0,5,2,2,5,5,5,5,5,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,5,4,3,3,1,4,1,4,2,4,4,4,2,2,6,5,5,5,5,3,4,2,1,98,5
CC8F8730,7,2,2,3,3,1,1,3,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,3,2,3,4,4,2,2,2,2,2,3,1,4,5,4,3,3,5,5,5,4,4,99,99,2,1,98,0
F5DAEA50,7,2,1,5,5,99,99,5,5,5,1,NA,NA,NA,NA,1,1,NA,NA,4,4,99,99,99,6,99,4,4,99,99,99,4,99,99,5,3,3,3,3,2,3,5,4,2,3,1,4,2,5,2,4,4,99,2,2,8,6,6,4,6,99,3,2,2,98,NA
99CB4E99,4,2,1,5,5,4,4,5,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,4,3,1,3,1,4,1,4,99,4,3,2,3,2,6,3,3,3,3,99,2,99,99,1,6
26646E8D,7,2,1,4,3,3,3,4,5,5,1,NA,NA,NA,NA,1,NA,1,1,4,4,4,NA,1,3,1,4,5,1,1,5,1,1,1,1,3,2,2,3,3,4,5,4,2,3,1,3,2,4,2,2,3,1,2,2,7,3,3,3,3,99,2,99,1,1,3
8A485388,4,2,1,3,3,3,3,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,4,4,4,4,1,4,1,4,99,99,2,3,1,2,7,5,5,5,5,2,2,2,1,1,7
0EB73CB7,7,1,1,6,6,6,5,5,5,5,1,NA,1,1,1,1,NA,1,NA,1,1,4,1,1,6,6,4,1,1,1,6,1,5,4,1,3,3,3,3,3,3,5,NA,3,4,NA,NA,5,4,2,4,3,4,4,5,9,7,7,9,7,2,4,2,1,1,8
221D60E0,4,2,1,4,4,3,4,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,2,2,3,2,2,2,2,1,99,3,2,4,3,3,5,3,2,3,2,99,99,1,1,1,4
EBEF3660,7,2,2,1,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,1,99,2,99,99,99,3,4,2,1,2,1,2,2,5,1,5,1,5,3,1,10,7,6,6,6,99,5,3,4,1,8
0C41A89B,5,2,1,6,6,4,4,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,1,5,1,4,1,1,4,4,1,5,1,1,2,2,2,2,2,2,5,3,1,2,1,3,1,5,2,4,2,99,2,2,8,6,5,6,6,1,99,99,2,1,6
96588B18,8,2,1,6,6,6,5,6,6,5,1,NA,1,NA,1,1,NA,NA,1,6,5,5,4,6,6,5,4,5,5,5,6,4,5,5,5,3,2,2,4,3,4,5,4,1,4,2,4,1,5,1,5,4,99,4,5,9,8,8,8,7,3,2,2,2,1,8
0E642C35,8,2,1,6,5,5,5,6,5,5,1,4,NA,NA,1,NA,1,1,NA,1,1,4,1,4,5,1,3,1,4,3,4,1,4,4,1,4,3,4,4,3,4,5,4,1,3,2,4,1,5,2,4,3,4,3,4,9,8,8,7,6,4,3,2,2,1,8
67828A4A,8,2,1,6,6,6,5,6,6,6,1,NA,1,NA,NA,NA,NA,1,1,1,1,3,3,1,6,1,4,1,1,3,5,2,5,1,1,4,3,3,4,3,3,5,5,1,4,1,5,1,5,2,5,1,5,1,1,8,5,4,5,4,3,4,2,2,1,9
9E51BA18,7,2,1,4,4,5,4,5,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,5,5,3,3,2,3,3,3,99,3,4,3,3,3,5,6,5,4,3,3,99,99,99,3,4
2D4F2863,3,2,2,6,6,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,3,5,3,1,3,1,3,1,5,1,4,5,3,2,5,6,4,4,2,3,99,99,99,99,3,6
3320C2AB,7,2,1,5,5,5,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,4,3,3,2,1,3,1,3,99,4,4,99,99,4,7,3,3,3,3,99,99,99,99,3,5
0F373D72,6,2,1,5,NA,6,6,5,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,3,3,4,4,4,4,5,5,NA,NA,NA,5,NA,5,99,4,3,99,NA,3,8,7,7,5,5,99,2,2,99,3,7
FEE41878,6,2,1,6,6,5,4,5,4,NA,1,NA,1,NA,1,NA,NA,1,1,99,4,4,1,1,6,4,5,3,2,3,6,3,3,4,1,4,3,3,4,4,3,5,5,2,3,3,3,3,5,1,3,4,4,4,4,7,6,5,6,6,2,2,2,1,3,6
0ABA1253,8,2,1,5,5,4,4,5,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,5,4,1,3,1,4,1,3,99,5,99,99,4,99,9,9,9,8,6,2,2,1,1,3,8
